YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1880,2.40,-1.04,-0.71,5.87,14.67,18.54,20.40,19.76,16.62,9.01,-0.24,-5.84,1.56,6.61,19.57,8.46,9.05
1881,-8.11,-5.97,-1.59,2.13,13.43,14.93,20.82,21.88,21.55,12.02,4.81,2.46,-6.64,4.66,19.21,12.79,7.50
1882,-3.54,0.13,0.79,4.38,9.18,16.52,19.32,19.88,16.52,12.71,3.13,-2.59,-0.32,4.78,18.57,10.79,8.46
1883,-6.28,-4.95,-4.56,4.60,9.91,17.91,19.07,18.55,14.13,8.85,6.13,0.53,-4.61,3.32,18.51,9.70,6.73
1884,-8.05,-2.80,-1.55,4.39,11.31,19.05,18.25,19.80,18.39,10.89,3.22,-1.40,-3.44,4.72,19.03,10.83,7.79
1885,-6.35,-9.88,-6.65,4.62,11.93,15.82,20.90,18.10,15.43,9.82,4.84,-0.70,-5.88,3.30,18.27,10.03,6.43
1886,-5.31,-4.48,-0.17,8.30,11.80,17.19,19.74,19.35,17.13,11.10,3.27,-4.31,-3.50,6.64,18.76,10.50,8.10
1887,-5.34,-3.25,-2.20,4.74,16.55,18.77,23.66,19.77,14.80,8.55,3.41,-0.80,-4.30,6.36,20.73,8.92,7.93
1888,-7.83,-4.69,-3.66,3.72,11.89,17.97,19.75,19.70,14.81,7.09,4.61,-0.82,-4.44,3.98,19.14,8.84,6.88
1889,-1.37,-7.68,0.62,6.12,12.35,16.43,20.87,19.48,16.84,7.15,4.60,2.88,-3.29,6.36,18.93,9.53,7.88
1890,0.28,-0.50,-1.78,6.33,10.91,19.05,20.69,18.63,15.33,9.83,3.97,-3.80,0.89,5.15,19.46,9.71,8.80
1891,-2.50,-1.00,-0.75,6.27,10.60,18.44,18.33,19.74,18.27,9.91,3.91,2.37,-2.43,5.37,18.84,10.70,8.12
1892,-5.19,-2.27,-2.21,5.00,11.20,18.98,20.87,20.81,16.59,10.00,2.39,-2.92,-1.70,4.66,20.22,9.66,8.21
1893,-8.59,-6.15,-0.98,4.82,11.35,19.51,20.93,20.26,15.54,11.79,4.38,-2.57,-5.89,5.06,20.23,10.57,7.49
1894,-0.90,-5.28,3.63,7.13,12.40,18.51,21.35,19.35,18.43,12.01,2.13,0.42,-2.92,7.72,19.74,10.86,8.85
1895,-5.19,-8.75,-2.97,7.00,13.33,20.30,19.86,20.33,18.05,7.44,4.41,0.56,-4.51,5.79,20.16,9.97,7.85
1896,-4.10,-4.13,-3.78,8.05,14.69,18.77,21.16,20.36,15.63,8.55,5.86,-1.05,-2.56,6.32,20.10,10.01,8.47
1897,-3.96,-2.49,1.37,6.78,12.12,16.45,23.34,19.45,17.29,12.45,4.53,-0.96,-2.50,6.76,19.75,11.42,8.86
1898,-2.10,-2.63,5.03,6.28,13.65,19.51,22.75,21.70,19.17,12.23,4.17,-1.43,-1.90,8.32,21.32,11.86,9.90
